sense_uid	seq	trad	simp	pinyin
車站|车站|che1 zhan4~1	0	處	处	chu4
車站|车站|che1 zhan4~1	1	個	个	ge4
軍隊|军队|jun1 dui4~1	0	支	支	zhi1
辦法|办法|ban4 fa3~1	0	條	条	tiao2
通知|通知|tong1 zhi1~2	0	個	个	ge4
遊戲|游戏|you2 xi4~1	0	場	场	chang3
運動|运动|yun4 dong4~3	0	場	场	chang3
運動員|运动员|yun4 dong4 yuan2~1	0	名	名	ming2
運動員|运动员|yun4 dong4 yuan2~1	1	個	个	ge4
道|道|dao4~1	0	條	条	tiao2
道|道|dao4~1	1	股	股	gu3
道德|道德|dao4 de2~1	0	種	种	zhong3
道路|道路|dao4 lu4~1	0	條	条	tiao2
選舉|选举|xuan3 ju3~1	0	次	次	ci4
選舉|选举|xuan3 ju3~1	1	個	个	ge4
邀請|邀请|yao1 qing3~1	0	個	个	ge4
邊|边|bian1~1	0	個	个	ge4
部長|部长|bu4 zhang3~1	0	個	个	ge4
部長|部长|bu4 zhang3~1	1	位	位	wei4
部長|部长|bu4 zhang3~1	2	名	名	ming2
部門|部门|bu4 men2~1	0	個	个	ge4
部隊|部队|bu4 dui4~1	0	個	个	ge4
酒|酒|jiu3~1	0	杯	杯	bei1
酒|酒|jiu3~1	1	瓶	瓶	ping2
酒|酒|jiu3~1	2	罐	罐	guan4
酒|酒|jiu3~1	3	桶	桶	tong3
酒|酒|jiu3~1	4	缸	缸	gang1
醫院|医院|yi1 yuan4~1	0	所	所	suo3
醫院|医院|yi1 yuan4~1	1	家	家	jia1
醫院|医院|yi1 yuan4~1	2	座	座	zuo4
重複|重复|chong2 fu4~1	0	個	个	ge4
金屬|金属|jin1 shu3~1	0	種	种	zhong3
銀行|银行|yin2 hang2~1	0	家	家	jia1
銀行|银行|yin2 hang2~1	1	個	个	ge4
錢|钱|qian2~1	0	筆	笔	bi3
錯誤|错误|cuo4 wu4~1	0	個	个	ge4
鐘|钟|zhong1~1	0	座	座	zuo4
鐘|钟|zhong1~2	0	點	点	dian3
鐘|钟|zhong1~2	1	分	分	fen1
鐘|钟|zhong1~2	2	秒	秒	miao3
鐘|钟|zhong1~3	0	架	架	jia4
長官|长官|zhang3 guan1~1	0	位	位	wei4
門|门|men2~1	0	扇	扇	shan4
關係|关系|guan1 xi5~1	0	個	个	ge4
關鍵|关键|guan1 jian4~1	0	個	个	ge4
限制|限制|xian4 zhi4~1	0	個	个	ge4
院|院|yuan4~2	0	個	个	ge4
隊|队|dui4~1	0	個	个	ge4
隊伍|队伍|dui4 wu3~1	0	個	个	ge4
隊伍|队伍|dui4 wu3~1	1	支	支	zhi1
隊伍|队伍|dui4 wu3~1	2	條	条	tiao2
階段|阶段|jie1 duan4~1	0	個	个	ge4
雜誌|杂志|za2 zhi4~1	0	本	本	ben3
雜誌|杂志|za2 zhi4~1	1	份	份	fen4
雜誌|杂志|za2 zhi4~1	2	期	期	qi1
雞|鸡|ji1~1	0	隻	只	zhi1
雨|雨|yu3~1	0	陣	阵	zhen4
雨|雨|yu3~1	1	場	场	chang2
雪|雪|xue3~1	0	場	场	chang2
電影|电影|dian4 ying3~1	0	部	部	bu4
電腦|电脑|dian4 nao3~1	0	臺	台	tai2
電視|电视|dian4 shi4~2	0	臺	台	tai2
電視|电视|dian4 shi4~2	1	部	部	bu4
電話|电话|dian4 hua4~1	0	部	部	bu4
電話|电话|dian4 hua4~2	0	通	通	tong1
革命|革命|ge2 ming4~1	0	次	次	ci4
音樂|音乐|yin1 yue4~1	0	張	张	zhang1
音樂|音乐|yin1 yue4~1	1	曲	曲	qu3
音樂|音乐|yin1 yue4~1	2	段	段	duan4
領導|领导|ling3 dao3~2	0	位	位	wei4
領導|领导|ling3 dao3~2	1	個	个	ge4
題|题|ti2~1	0	個	个	ge4
題|题|ti2~1	1	道	道	dao4
風|风|feng1~1	0	陣	阵	zhen4
風|风|feng1~1	1	絲	丝	si1
飛機|飞机|fei1 ji1~1	0	架	架	jia4
飯|饭|fan4~1	0	碗	碗	wan3
飯|饭|fan4~2	0	頓	顿	dun4
香|香|xiang1~3	0	根	根	gen1
馬|马|ma3~1	0	匹	匹	pi3
高度|高度|gao1 du4~1	0	個	个	ge4
魚|鱼|yu2~1	0	條	条	tiao2
魚|鱼|yu2~1	1	尾	尾	wei3
鳥|鸟|niao3~1	0	隻	只	zhi1
鳥|鸟|niao3~1	1	群	群	qun2
黨|党|dang3~1	0	個	个	ge4
