entry_id	toned	plain	kind
前往|前往|qian2 wang3	qian2wang3	qianwang	canonical
剛|刚|gang1	gang1	gang	canonical
剩下|剩下|sheng4 xia4	sheng4xia4	shengxia	canonical
副|副|fu4	fu4	fu	canonical
創作|创作|chuang4 zuo4	chuang4zuo4	chuangzuo	canonical
創造|创造|chuang4 zao4	chuang4zao4	chuangzao	canonical
劃|划|hua2	hua2	hua	canonical
劃|划|hua4	hua4	hua	canonical
劇|剧|ju4	ju4	ju	canonical
劇本|剧本|ju4 ben3	ju4ben3	juben	canonical
劍|剑|jian4	jian4	jian	canonical
力|力|li4	li4	li	canonical
力量|力量|li4 liang5	li4liang5	liliang	canonical
功能|功能|gong1 neng2	gong1neng2	gongneng	canonical
加|加|jia1	jia1	jia	canonical
加上|加上|jia1 shang4	jia1shang4	jiashang	canonical
加入|加入|jia1 ru4	jia1ru4	jiaru	canonical
努力|努力|nu3 li4	nu3li4	nuli	canonical
勒|勒|le4	le4	le	canonical
勒|勒|lei1	lei1	lei	canonical
動作|动作|dong4 zuo4	dong4zuo4	dongzuo	canonical
動物|动物|dong4 wu4	dong4wu4	dongwu	canonical
勝|胜|sheng4	sheng1	sheng	variant
勝|胜|sheng4	sheng4	sheng	canonical
勝利|胜利|sheng4 li4	sheng4li4	shengli	canonical
包|包|bao1	bao1	bao	canonical
包括|包括|bao1 kuo4	bao1kuo4	baokuo	canonical
化學|化学|hua4 xue2	hua4xue2	huaxue	canonical
北|北|bei3	bei3	bei	canonical
區|区|qu1	qu1	qu	canonical
區別|区别|qu1 bie2	qu1bie2	qubie	canonical
區域|区域|qu1 yu4	qu1yu4	quyu	canonical
十|十|shi2	shi2	shi	canonical
十二|十二|shi2 er4	shi2er4	shier	canonical
十分|十分|shi2 fen1	shi2fen1	shifen	canonical
千|千|qian1	qian1	qian	canonical
千萬|千万|qian1 wan4	qian1wan4	qianwan	canonical
升|升|sheng1	sheng1	sheng	canonical
半|半|ban4	ban4	ban	canonical
協助|协助|xie2 zhu4	xie2zhu4	xiezhu	canonical
協會|协会|xie2 hui4	xie2hui4	xiehui	canonical
協議|协议|xie2 yi4	xie2yi4	xieyi	canonical
南|南|na1	na1	na	canonical
南|南|na1	na2	na	variant
南|南|nan2	nan2	nan	canonical
南方|南方|nan2 fang1	nan2fang1	nanfang	canonical
博|博|bo2	bo2	bo	canonical
博士|博士|bo2 shi4	bo2shi4	boshi	canonical
博物館|博物馆|bo2 wu4 guan3	bo2wu4guan3	bowuguan	canonical
占|占|zhan1	zhan1	zhan	canonical
占|占|zhan4	zhan4	zhan	canonical
卡|卡|qia3	ka3	ka	variant
卡|卡|qia3	qia3	qia	canonical
印|印|yin4	yin4	yin	canonical
危機|危机|wei1 ji1	wei1ji1	weiji	canonical
危險|危险|wei1 xian3	wei1xian3	weixian	canonical
即|即|ji2	ji2	ji	canonical
即使|即使|ji2 shi3	ji2shi3	jishi	canonical
卷|卷|juan3	juan3	juan	canonical
卷|卷|juan4	juan4	juan	canonical
卻|却|que4	que4	que	canonical
原|原|yuan2	yuan2	yuan	canonical
原來|原来|yuan2 lai2	yuan2lai2	yuanlai	canonical
原則|原则|yuan2 ze2	yuan2ze2	yuanze	canonical
原因|原因|yuan2 yin1	yuan2yin1	yuanyin	canonical
原本|原本|yuan2 ben3	yuan2ben3	yuanben	canonical
去|去|qu4	qu4	qu	canonical
去世|去世|qu4 shi4	qu4shi4	qushi	canonical
參加|参加|can1 jia1	can1jia1	canjia	canonical
參與|参与|can1 yu4	can1yu4	canyu	canonical
又|又|you4	you4	you	canonical
及|及|ji2	ji2	ji	canonical
反|反|fan3	fan3	fan	canonical
反對|反对|fan3 dui4	fan3dui4	fandui	canonical
反應|反应|fan3 ying4	fan3ying4	fanying	canonical
取|取|qu3	qu3	qu	canonical
取得|取得|qu3 de2	qu3de2	qude	canonical
取消|取消|qu3 xiao1	qu3xiao1	quxiao	canonical
受|受|shou4	shou4	shou	canonical
受傷|受伤|shou4 shang1	shou4shang1	shoushang	canonical
受到|受到|shou4 dao4	shou4dao4	shoudao	canonical
口|口|kou3	kou3	kou	canonical
古|古|gu3	gu3	gu	canonical
句|句|ju4	ju4	ju	canonical
另|另|ling4	ling4	ling	canonical
另外|另外|ling4 wai4	ling4wai4	lingwai	canonical
只|只|zhi3	zhi3	zhi	canonical
只是|只是|zhi3 shi4	zhi3shi4	zhishi	canonical
只有|只有|zhi3 you3	zhi3you3	zhiyou	canonical
只能|只能|zhi3 neng2	zhi3neng2	zhineng	canonical
只要|只要|zhi3 yao4	zhi3yao4	zhiyao	canonical
叫|叫|jiao4	jiao4	jiao	canonical
叫做|叫做|jiao4 zuo4	jiao4zuo4	jiaozuo	canonical
可以|可以|ke3 yi3	ke3yi3	keyi	canonical
可是|可是|ke3 shi4	ke3shi4	keshi	canonical
可能|可能|ke3 neng2	ke3neng2	keneng	canonical
史|史|shi3	shi3	shi	canonical
右|右|you4	you4	you	canonical
叶|叶|xie2	xie2	xie	canonical
司|司|si1	si1	si	canonical
吃|吃|chi1	chi1	chi	canonical
各|各|ge4	ge4	ge	canonical
各地|各地|ge4 di4	ge4di4	gedi	canonical
各種|各种|ge4 zhong3	ge4zhong3	gezhong	canonical
合|合|ge3	ge3	ge	canonical
合作|合作|he2 zuo4	he2zuo4	hezuo	canonical
合併|合并|he2 bing4	he2bing4	hebing	canonical
合法|合法|he2 fa3	he2fa3	hefa	canonical
吉|吉|ji2	ji2	ji	canonical
同|同|tong2	tong2	tong	canonical
同志|同志|tong2 zhi4	tong2zhi4	tongzhi	canonical
同性戀|同性恋|tong2 xing4 lian4	tong2xing4lian4	tongxinglian	canonical
同意|同意|tong2 yi4	tong2yi4	tongyi	canonical
同時|同时|tong2 shi2	tong2shi2	tongshi	canonical
同樣|同样|tong2 yang4	tong2yang4	tongyang	canonical
名|名|ming2	ming2	ming	canonical
名人|名人|ming2 ren2	ming2ren2	mingren	canonical
名單|名单|ming2 dan1	ming2dan1	mingdan	canonical
名字|名字|ming2 zi5	ming2zi5	mingzi	canonical
后|后|hou4	hou4	hou	canonical
向|向|xiang4	xiang4	xiang	canonical
君|君|jun1	jun1	jun	canonical
否則|否则|fou3 ze2	fou3ze2	fouze	canonical
听|听|yin3	yin3	yin	canonical
吸引|吸引|xi1 yin3	xi1yin3	xiyin	canonical
